HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV202,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV234,HV235,HV236,HV237,HV237A,HV237B,HV237C,HV237D,HV237E,HV237F,HV237G,HV237H,HV237I,HV237J,HV237K,HV237X,HV237Z,HV238,HV239,HV240,HV241,HV242,HV243A,HV243B,HV243C,HV243D,HV244,HV245,HV246,HV246A,HV246B,HV246C,HV246D,HV246E,HV246F,HV246G,HV246H,HV246I,HV246J,HV246K,HV247,HV248,HV249,HV250,HV251,HV270,HV271,HML1,HML1A,HML2,SH108AA,SH108BA,SH108BB,SH108BC,SH108BD,SH108BX,SH108C1,SH108C2,SH108E,SHREGION,SHDISTRICT,V126
213,RW5,2,13,1,2,544059,2,2008,1298,2,2,0,2,2,0,1,15,1,132,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,21,1,1,1,0,0,0,0,34, , , ,3,1,1,29,1,1,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,333262,2,2,0,1,1,0,0,0,0,2,0,0,1,1,.544059
214,RW5,2,14,1,2,544059,2,2008,1298,1,0,1,1,1,0,1,15,1,132,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,3,21,1,1,1,1,0,0,0,34, , , ,5,1,2,48,1,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,339186,2,2,0,1,1,0,0,0,0,1,0,1,1,1,.544059
215,RW5,2,15,1,2,544059,4,2008,1300,5,3,1,5,5,1,1,19,1,904,1,0,2,1,1,1,1,0,1,544059,906,904,1, , ,1374, ,1, , ,12, ,996,11,1,1,0,0,0,0,0,34, , , ,5,1,1,37,0,1,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,308618,2,2,0,1,1,0,0,1,0,1,0,1,1,1,.544059
216,RW5,2,16,1,2,544059,2,2008,1298,1,0,1,1,1,0,1,15,1,132,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,11,1,1,1,1,0,0,0,34, , , ,5,1,1,61,1,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,460160,3,3,0,1,1,0,0,0,0,1,0,1,1,1,.544059
217,RW5,2,17,1,2,544059,2,2008,1298,2,0,2,2,2,0,1,15,1,132,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,21,1,1,1,1,0,0,0,34, , , ,5,1,2,43,1,1,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,408852,4,4,0,1,1,0,0,0,0,2,0,1,1,1,.544059
218,RW5,2,18,1,2,544059,2,2008,1298,8,4,2,8,8,0,1,15,1,132,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,21,1,1,1,0,0,0,0,34, , , ,5,1,1,31,0,9,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,311173,3,3,0,1,1,0,0,0,0,4,0,1,1,1,.544059
219,RW5,2,19,1,2,544059,4,2008,1300,2,0,2,2,2,0,1,19,1,904,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,5,21,1,1,1,0,0,0,0,34, , , ,5,1,1,27,0,1,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,280845,2,2,0,0, , , , , , , ,1,1,1,.544059
220,RW5,2,20,1,2,544059,2,2008,1298,7,3,2,7,7,0,1,14,1,132,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,11,1,1,1,1,0,0,0,34, , , ,5,1,1,35,1,0,6,1,2, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,460160,2,2,1,1,1,0,0,0,0,6,0,1,1,1,.544059
221,RW5,2,21,2,2,544059,2,2008,1298,5,4,0,5,5,0,1,15,1,903,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,10,21,1,1,1,0,0,0,0,34, , , ,5,1,2,62,0,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,263595,4,4,0,1,0,1,0,0,0, , ,0,1,1,.544059
222,RW5,2,22,1,2,544059,2,2008,1298,5,1,2,5,5,0,1,15,1,903,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,10,21,1,1,1,0,0,0,0,34, , , ,5,1,1,47,0,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,263595,3,3,0,1,9,9,9,9,9, , ,1,1,1,.544059
223,RW5,2,23,1,2,544059,2,2008,1298,3,0,3,3,3,0,1,15,1,903,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,21,1,1,0,0,0,0,0,34, , , ,5,1,1,34,0,1,7,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,179136,2,2,2,0, , , , , , , ,0,1,1,.544059
