HHID,PID,HV101,HV102,HV103,HV104,HV105,HV106,HV107,HV108,HV109,HV110,HV111,HV112,HV113,HV114,HV115,HV116,HV117,HV118,SH9A,SH11,SH12
2 13,1,1,1,1,1,34,0, ,0,0,0, , , , , , ,0,1, ,1,1
2 13,2,2,1,1,2,33,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 13,3,3,1,1,2,8,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
2 13,4,3,1,1,2,5,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 13,5,3,1,1,2,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 13,6,3,1,1,1,1,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 15,1,1,1,1,1,17,0, ,0,0,0, , , , , , ,0,0, ,0,1
2 15,2,8,1,1,1,14,1,0,0,1,9,0, ,1, , , ,0,0,1,0,1
2 15,3,8,1,1,2,15,0, ,0,0,0, , , , , , ,1,0, ,0,1
2 18,1,1,1,1,1,52,8, ,98,8,0, , , , , , ,0,0, ,0,1
2 18,2,2,1,1,2,50,0, ,0,0,0, , , , , , ,0,0, ,1,1
2 18,3,3,1,1,2,22,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 18,4,3,1,1,1,24,0, ,0,0,0, , , , , , ,0,0, ,1,1
2 18,5,3,1,1,2,10,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 18,6,3,1,1,1,17,1,7,7,1,0, , , , , , ,0,0,1,1,1
2 18,7,3,1,1,2,12,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 18,8,3,1,1,2,8,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 18,9,3,1,1,2,9,1,0,0,1,0,1, ,1, , , ,0,0,1,1,1
2 18,10,3,1,1,2,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 18,11,3,1,1,1,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 20,1,1,1,0,1,38,0, ,0,0,0, , , , , , ,0,0, ,1,1
2 20,2,2,1,1,2,40,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 20,3,10,0,1,1,42,1,2,2,1,0, , , , , , ,0,0,1,1,1
2 20,4,10,0,1,2,29,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 20,5,10,0,1,2,9,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 20,6,10,0,1,2,6,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 20,7,10,0,1,1,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 20,8,10,0,1,1,1,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 20,9,3,1,1,1,18,1,2,2,1,0, , , , , , ,0,0,1,1,1
2 20,10,3,1,1,1,13,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 20,11,3,1,1,1,7,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 20,12,3,1,1,2,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 20,13,3,1,1,1,10,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
2 23,1,1,1,0,1,60,1,4,4,1,0, , , , , , ,0,0,1,1,0
2 23,2,2,1,1,2,60,0, ,0,0,0, , , , , , ,0,0, ,1,1
2 23,3,3,1,1,1,18,1,8,8,2,0, , , , , , ,0,0,2,1,1
2 23,4,3,1,1,2,16,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 23,5,5,1,1,1,10,1,1,1,1,0,1, ,1, , , ,0,0,1,1,1
2 23,6,5,1,1,2,14,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 25,1,1,1,0,1,67,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 25,2,2,1,1,2,63,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 25,3,12,0,1,2,72,0, ,0,0,0, , , , , , ,0,0, ,0,0
