HHID,HV000,HV001,HV002,PID,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV201,HV202,HV203,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,SHPREF,SHCOMMNE,SHSECTOR,V54
2 95,RW2,2,95,0,121,0,6,92,1110,0,0,0,0,0,0,2,22,1,55,8,0,121,34,2,2,2,3,0,0, , , , , , , , , , , , , , , , , , , , ,11,3,3,0
2 97,RW2,2,97,0,121,1126893,6,92,1110,4,1,0,4,4,1,1,22,1,53,8,0,121,34,2,2,2,3,0,0,31,31,1,15,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,29,11,3,3,1.126893
2100,RW2,2,100,0,121,1126893,6,92,1110,7,1,1,7,7,2,1,23,2,54,8,0,121,34,2,2,2,3,2,1126893,12,12,1,10,23,0,1, ,0,0,0,0,11, , ,2,2,1,1,32,11,3,3,1.126893
2102,RW2,2,102,0,121,1126893,6,92,1110,5,1,0,4,4,1,1,22,1,56,8,0,121,34,2,2,2,3,0,0,12,12,1,3,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,28,11,3,3,1.126893
2105,RW2,2,105,0,121,1126893,6,92,1110,11,1,0,5,10,0,1,22,1,55,8,0,121,34,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,4,4,1,1,64,11,3,3,1.126893
2107,RW2,2,107,0,121,1126893,6,92,1110,5,1,0,5,5,2,1,22,1,54,8,0,121,34,2,2,2,3,0,0,12,12,1,20,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,32,11,3,3,1.126893
3  7,RW2,3,7,0,122,1126893,6,92,1110,10,1,0,5,10,0,1,20,1,56,5,0,122,35,2,2,2,3,0,0,31,31,1,4,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,58,11,3,11,1.126893
3 10,RW2,3,10,0,122,1126893,6,92,1110,6,0,0,6,6,2,1,20,1,51,5,0,122,35,2,2,2,3,2,1126893,31,31,1,10,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,46,11,3,11,1.126893
3 12,RW2,3,12,0,122,1126893,6,92,1110,3,0,0,3,3,1,1,19,1,53,5,0,122,35,2,2,2,3,0,0,31,31,1,20,23,0,0, ,0,0,0,0,11, , ,1,1,1,2,63,11,3,11,1.126893
3 15,RW2,3,15,0,122,1126893,6,92,1110,8,1,0,8,8,2,1,20,2,53,5,0,122,35,2,2,2,3,0,0,31,31,1,20,23,0,0, ,0,0,0,0,11, , ,3,2,1,1,36,11,3,11,1.126893
3 18,RW2,3,18,0,122,1126893,6,92,1110,9,4,0,6,9,0,1,19,1,56,9,0,122,35,2,2,2,3,0,0,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,43,11,3,11,1.126893
3 21,RW2,3,21,0,122,1126893,6,92,1110,9,3,0,3,9,0,1,19,1,56,9,0,122,35,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,2,4,1,1,82,11,3,11,1.126893
3 23,RW2,3,23,0,122,1126893,6,92,1110,8,1,1,8,8,2,1,19,1,53,9,0,122,35,2,2,2,3,2,1126893,31,31,1,6,23,0,0, ,0,0,0,0,11, , ,3,2,1,1,45,11,3,11,1.126893
3 26,RW2,3,26,0,122,1126893,6,92,1110,5,1,0,5,5,2,1,20,1,53,9,0,122,35,2,2,2,3,0,0,31,31,1,40,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,33,11,3,11,1.126893
3 29,RW2,3,29,0,122,1126893,6,92,1110,5,1,0,5,5,2,1,20,1,54,9,0,122,35,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,31,11,3,11,1.126893
3 32,RW2,3,32,0,122,1126893,6,92,1110,2,1,0,2,2,0,1,21,3,54,9,0,122,35,2,2,2,3,0,0,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,28,11,3,11,1.126893
3 34,RW2,3,34,0,122,1126893,6,92,1110,8,1,0,1,8,0,1,20,1,56,9,0,122,35,2,2,2,3,0,0,12,12,1,30,23,0,1, ,0,0,0,0,11, , ,3,1,1,1,53,11,3,11,1.126893
3 37,RW2,3,37,0,122,1126893,6,92,1110,7,2,0,6,7,0,1,20,1,54,9,0,122,35,2,2,2,3,2,1126893,12,12,1,30,31,0,0, ,0,0,0,0,11, , ,2,4,1,2,81,11,3,11,1.126893
3 40,RW2,3,40,0,122,1126893,6,92,1110,7,1,0,7,6,2,1,20,1,54,9,0,122,35,2,2,2,3,0,0,12,12,1,60,31,0,0, ,0,0,0,0,11, , ,2,2,1,1,32,11,3,11,1.126893
3 43,RW2,3,43,0,122,1126893,6,92,1110,6,2,0,6,6,0,1,20,1,54,9,0,122,35,2,2,2,3,0,0,12,12,1,999,23,0,0, ,0,0,0,0,11, , ,3,4,1,2,48,11,3,11,1.126893
3 45,RW2,3,45,0,122,1126893,6,92,1110,3,2,0,1,2,0,1,21,2,56,9,0,122,35,2,2,2,3,0,0,12,12,1,45,23,0,0, ,0,0,0,0,11, , ,2,1,1,1,98,11,3,11,1.126893
3 48,RW2,3,48,0,122,1126893,6,92,1110,7,1,0,7,7,2,1,20,1,56,9,0,122,35,2,2,2,3,0,0,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,4,4,1,1,50,11,3,11,1.126893
